Date;Open;High;Low;Close
08/27/2024;4.108;4.161;4.099;4.122
08/26/2024;4.093;4.118;4.073;4.108
08/23/2024;4.124;4.134;4.081;4.093
08/22/2024;4.08;4.152;4.067;4.124
08/21/2024;4.063;4.098;4.041;4.08
08/20/2024;4.125;4.14;4.056;4.063
08/19/2024;4.142;4.16;4.102;4.125
08/16/2024;4.171;4.183;4.134;4.142
08/15/2024;4.125;4.227;4.118;4.171
08/14/2024;4.16;4.172;4.101;4.125
08/13/2024;4.203;4.221;4.155;4.16
08/12/24;4.226;4.248;4.189;4.203
08/09/24;4.282;4.407;4.209;4.226
08/08/24;4.248;4.315;4.207;4.282
08/07/24;4.182;4.273;4.168;4.248
08/06/24;4.078;4.196;4.074;4.182
08/05/24;4.108;4.121;4;4.078
08/02/24;4.278;4.278;4.101;4.108
08/01/24;4.306;4.337;4.254;4.278
07/31/2024;4.397;4.415;4.305;4.306
07/30/2024;4.427;4.443;4.388;4.397
07/29/2024;4.454;4.455;4.402;4.427
07/26/2024;4.485;4.515;4.445;4.454
07/25/2024;4.548;4.548;4.461;4.485
07/24/2024;4.487;4.553;4.461;4.548
07/23/2024;4.474;4.489;4.446;4.487
07/22/2024;4.449;4.497;4.407;4.474
07/19/2024;4.422;4.456;4.422;4.449
07/18/2024;4.376;4.425;4.375;4.421
07/17/2024;4.375;4.404;4.358;4.376
07/16/2024;4.463;4.463;4.368;4.375
07/15/2024;4.397;4.48;4.394;4.463
07/12/24;4.425;4.457;4.391;4.397
07/11/24;4.488;4.489;4.377;4.425
07/10/24;4.493;4.505;4.461;4.488
07/09/24;4.467;4.52;4.461;4.493
07/08/24;4.488;4.511;4.456;4.467
07/05/24;4.532;4.548;4.46;4.488
07/03/24;4.608;4.609;4.518;4.532
07/02/24;4.632;4.637;4.588;4.608
07/01/24;4.566;4.656;4.554;4.632
06/28/2024;4.428;4.566;4.414;4.566
06/27/2024;4.476;4.483;4.417;4.428
06/26/2024;4.382;4.476;4.374;4.476
06/25/2024;4.366;4.394;4.345;4.382
06/24/2024;4.399;4.418;4.362;4.366
06/21/2024;4.399;4.418;4.356;4.399
06/20/2024;4.357;4.431;4.349;4.399
06/18/2024;4.407;4.426;4.345;4.357
06/17/2024;4.35;4.435;4.35;4.407
06/14/2024;4.398;4.423;4.332;4.35
06/13/2024;4.478;4.492;4.393;4.398
06/12/24;4.537;4.544;4.419;4.478
06/11/24;4.599;4.601;4.531;4.537
06/10/24;4.558;4.608;4.558;4.599
06/07/24;4.437;4.56;4.437;4.558
06/06/24;4.432;4.472;4.425;4.437
06/05/24;4.477;4.501;4.432;4.432
06/04/24;4.537;4.56;4.468;4.477
06/03/24;4.65;4.65;4.537;4.537
05/31/2024;4.678;4.698;4.628;4.65
05/30/2024;4.739;4.75;4.676;4.678
05/29/2024;4.67;4.757;4.656;4.739
05/28/2024;4.575;4.672;4.555;4.67
05/26/2024;4.575;4.575;4.575;4.575
05/24/2024;4.591;4.604;4.57;4.575
05/23/2024;4.542;4.604;4.531;4.591
05/22/2024;4.549;4.591;4.539;4.542
05/21/2024;4.586;4.593;4.54;4.549
05/20/2024;4.563;4.596;4.549;4.586
05/17/2024;4.508;4.566;4.507;4.563
05/16/2024;4.508;4.525;4.468;4.508
05/15/2024;4.587;4.597;4.502;4.508
05/14/2024;4.637;4.666;4.586;4.587
05/13/2024;4.642;4.644;4.607;4.637
05/10/24;4.611;4.655;4.592;4.642
05/09/24;4.644;4.679;4.601;4.611
05/08/24;4.6;4.647;4.595;4.644
05/07/24;4.638;4.645;4.571;4.6
05/06/24;4.673;4.676;4.632;4.638
05/03/24;4.731;4.741;4.638;4.673
05/02/24;4.753;4.788;4.718;4.731
05/01/24;4.786;4.8;4.703;4.753
04/30/2024;4.733;4.799;4.721;4.786
04/29/2024;4.776;4.781;4.726;4.733
04/26/2024;4.816;4.827;4.76;4.776
04/25/2024;4.773;4.847;4.758;4.816
04/24/2024;4.731;4.801;4.724;4.773
04/23/2024;4.718;4.758;4.692;4.731
04/22/2024;4.712;4.758;4.712;4.718
04/19/2024;4.734;4.739;4.617;4.712
04/18/2024;4.705;4.749;4.679;4.734
04/17/2024;4.767;4.782;4.695;4.705
04/16/2024;4.722;4.808;4.701;4.767
04/15/2024;4.63;4.754;4.63;4.722
04/12/24;4.681;4.681;4.589;4.63
04/11/24;4.631;4.689;4.617;4.681
04/10/24;4.501;4.646;4.458;4.631
04/09/24;4.55;4.563;4.492;4.501
04/08/24;4.555;4.606;4.542;4.55
04/05/24;4.476;4.559;4.466;4.555
04/04/24;4.507;4.536;4.462;4.476
04/03/24;4.501;4.57;4.488;4.507
04/02/24;4.45;4.546;4.445;4.501
04/01/24;4.346;4.473;4.344;4.45
03/28/2024;4.352;4.382;4.328;4.346
03/27/2024;4.395;4.408;4.344;4.352
03/26/2024;4.416;4.436;4.393;4.395
03/25/2024;4.376;4.434;4.366;4.416
03/22/2024;4.441;4.441;4.368;4.376
03/21/2024;4.455;4.468;4.408;4.441
03/20/2024;4.445;4.497;4.414;4.455
03/19/2024;4.45;4.467;4.429;4.445
03/18/2024;4.431;4.472;4.416;4.45
03/15/2024;4.436;4.455;4.402;4.431
03/14/2024;4.344;4.446;4.338;4.436
03/13/2024;4.32;4.359;4.293;4.344
03/12/24;4.264;4.328;4.242;4.32
03/11/24;4.256;4.287;4.227;4.264
03/08/24;4.244;4.278;4.223;4.256
03/07/24;4.236;4.275;4.191;4.244
03/06/24;4.295;4.316;4.23;4.236
03/05/24;4.353;4.364;4.258;4.295
03/04/24;4.336;4.382;4.307;4.353
03/01/24;4.385;4.425;4.319;4.336
02/29/2024;4.406;4.446;4.359;4.385
02/28/2024;4.429;4.446;4.399;4.406
02/27/2024;4.398;4.448;4.373;4.429
02/26/2024;4.372;4.424;4.338;4.398
02/23/2024;4.461;4.477;4.367;4.372
02/22/2024;4.48;4.501;4.446;4.461
02/21/2024;4.453;4.498;4.429;4.48
02/20/2024;4.434;4.476;4.415;4.453
02/16/2024;4.412;4.479;4.412;4.434
02/15/2024;4.438;4.438;4.384;4.412
02/14/2024;4.465;4.492;4.422;4.438
02/13/2024;4.386;4.476;4.35;4.465
02/12/24;4.374;4.4;4.35;4.386
02/09/24;4.352;4.388;4.338;4.374
02/08/24;4.33;4.384;4.309;4.352
02/07/24;4.303;4.338;4.282;4.33
02/06/24;4.339;4.355;4.286;4.303
02/05/24;4.222;4.358;4.222;4.339
02/02/24;4.121;4.25;4.098;4.222
02/01/24;4.173;4.204;4.057;4.121
01/31/2024;4.256;4.268;4.164;4.173
01/30/2024;4.317;4.326;4.247;4.256
01/29/2024;4.372;4.383;4.299;4.317
01/26/2024;4.373;4.403;4.342;4.372
01/25/2024;4.409;4.423;4.353;4.373
